theme,rule,value
katzenmilch,keyword,#674Aa8
katzenmilch,operator,#888888
katzenmilch,string,#5a5f9b
kr_theme,comment,#706D5B
kr_theme,const_lang,#D27518
kr_theme,background,#0B0A09
kr_theme,base_text,#FCFFE0
kr_theme,keyword,#949C8B
kr_theme,operator,#A56464
kr_theme,string,#A4A1B5
material,comment,#707880
material,const_lang,#9D94BB
material,background,#263238
material,base_text,#C5C8C6
material,keyword,#DE935F
material,operator,#81A2BE
material,string,#B5BD68
merbivore,comment,#AD2EA4
merbivore,const_lang,#FDC251
merbivore,background,#161616
merbivore,base_text,#E6E1DC
merbivore,keyword,#FC6F09
merbivore,operator,#AAAAAA
merbivore,string,#8DFF0A
merbivore_soft,comment,#AC4BB8
merbivore_soft,const_lang,#E1C582
merbivore_soft,background,#1C1C1C
merbivore_soft,base_text,#E6E1DC
merbivore_soft,keyword,#FC803A
merbivore_soft,operator,#AAAAAA
merbivore_soft,string,#8EC65F
mono_industrial,comment,#666C68
mono_industrial,const_lang,#E98800
mono_industrial,background,#222C28
mono_industrial,base_text,#FFFFFF
mono_industrial,keyword,#A39E64
mono_industrial,operator,#A8B3AB
mono_industrial,string,#FFFFFF
monokai,comment,#75715E
monokai,const_lang,#AE81FF
monokai,background,#272822
monokai,base_text,#F8F8F2
monokai,keyword,#F92672
monokai,operator,#AAAAAA
monokai,string,#E6DB74
pastel_on_dark,comment,#A6C6FF
pastel_on_dark,const_lang,#DE8E30
pastel_on_dark,background,#2C2828
pastel_on_dark,base_text,#EAEAEA
pastel_on_dark,keyword,#757aD8
pastel_on_dark,operator,#AAAAAA
pastel_on_dark,string,#66A968
solarized_dark,comment,#657B83
solarized_dark,const_lang,#B58900
solarized_dark,background,#002B36
solarized_dark,base_text,#93A1A1
solarized_dark,keyword,#859900
solarized_dark,operator,#B58900
solarized_dark,string,#2AA198
solarized_light,comment,#93A1A1
solarized_light,const_lang,#B58900
solarized_light,background,#FDF6E3
solarized_light,base_text,#586E75
solarized_light,keyword,#859900
solarized_light,operator,#93A1A1
solarized_light,string,#2AA198
textmate,comment,#4C886B
textmate,const_lang,#585CF6
textmate,background,#FFFFFF
textmate,base_text,#000000
textmate,keyword,#0000FF
textmate,operator,#687687
textmate,string,#036A07
tomorrow,comment,#8E908C
tomorrow,const_lang,#F5871F
tomorrow,background,#FFFFFF
tomorrow,base_text,#4D4D4C
tomorrow,keyword,#8959A8
tomorrow,operator,#3E999F
tomorrow,string,#718C00
tomorrow_night,comment,#969896
tomorrow_night,const_lang,#DE935F
tomorrow_night,background,#1D1F21
tomorrow_night,base_text,#C5C8C6
tomorrow_night,keyword,#B294BB
tomorrow_night,operator,#8ABEB7
tomorrow_night,string,#B5BD68
tomorrow_night_blue,comment,#7285B7
tomorrow_night_blue,const_lang,#FFC58F
tomorrow_night_blue,background,#002451
tomorrow_night_blue,base_text,#FFFFFF
tomorrow_night_blue,keyword,#EBBBFF
tomorrow_night_blue,operator,#99FFFF
tomorrow_night_blue,string,#D1F1A9
